red_team_p1_id,red_team_p2_id,yellow_team_p1_id,yellow_team_p2_id,red_team_goals,yellow_team_goals,red_won,played_on
11,8,16,3,10,6,true,'2017-10-23 14:22:54.511000'
4,10,17,5,10,9,true,'2017-10-23 15:31:42.460000'
8,6,2,16,9,10,false,'2017-10-23 18:26:11.982000'
8,16,2,6,7,10,false,'2017-10-23 18:45:08.573000'
17,5,18,4,10,7,true,'2017-10-23 19:25:03.316000'
4,18,5,17,10,9,true,'2017-10-23 19:39:25.709000'
12,4,10,2,6,10,false,'2017-10-23 19:56:17.871000'
8,6,3,16,10,7,true,'2017-10-24 14:31:50.019000'
17,5,4,16,2,10,false,'2017-10-24 15:19:55.903000'
5,17,4,16,10,9,true,'2017-10-24 15:22:01.579000'
8,21,6,9,1,10,false,'2017-10-24 15:30:13.243000'
2,11,8,6,8,10,false,'2017-10-24 19:18:20.563000'
12,11,6,8,7,10,false,'2017-10-24 19:26:32.514000'
12,8,6,2,8,10,false,'2017-10-24 19:43:12.271000'
2,10,5,11,10,9,true,'2017-10-24 20:03:35.348000'
11,8,6,2,10,9,true,'2017-10-25 14:37:39.843000'
2,21,6,9,10,7,true,'2017-10-25 14:50:13.382000'
5,17,4,10,10,8,true,'2017-10-25 15:10:23.331000'
2,3,6,11,10,8,true,'2017-10-25 18:38:16.119000'
6,11,3,2,7,10,false,'2017-10-25 18:53:19.491000'
10,4,17,5,10,9,true,'2017-10-25 19:25:30.202000'
10,4,5,2,10,8,true,'2017-10-25 19:48:37.561000'
3,16,6,8,3,10,false,'2017-10-26 13:10:21.499000'
6,8,3,16,9,10,false,'2017-10-26 13:22:18.166000'
8,11,2,6,8,10,false,'2017-10-26 14:04:31.944000'
11,5,10,4,10,9,true,'2017-10-26 14:23:47.294000'
10,4,2,17,8,10,false,'2017-10-26 14:42:51.025000'
6,8,3,16,10,7,true,'2017-10-26 18:25:00.741000'
2,3,6,8,3,10,false,'2017-10-27 13:25:50.601000'
6,8,2,3,6,10,false,'2017-10-27 13:26:15.818000'
10,4,17,5,2,10,false,'2017-10-27 14:12:47.856000'
2,8,16,10,10,8,true,'2017-10-27 14:29:09.863000'
2,8,16,3,10,5,true,'2017-10-27 14:41:28.294000'
2,3,8,16,10,6,true,'2017-10-27 14:57:07.420000'
12,8,3,6,7,10,false,'2017-10-27 18:49:06.867000'
12,16,10,4,7,10,false,'2017-10-27 20:59:30.500000'
16,12,6,4,10,9,true,'2017-10-27 21:02:51.767000'
8,4,2,23,10,9,true,'2017-10-27 21:37:46.481000'
12,16,17,5,7,10,false,'2017-10-27 21:46:12.472000'
17,5,12,16,9,10,false,'2017-10-27 21:52:40.161000'
2,9,12,4,10,4,true,'2017-10-27 22:02:09.711000'
12,4,2,9,5,10,false,'2017-10-27 22:20:03.531000'
12,9,5,17,2,10,false,'2017-10-27 22:30:07.304000'
5,17,1,4,6,10,false,'2017-10-30 16:49:55.151000'
10,4,2,5,10,2,true,'2017-10-30 19:31:19.245000'
2,5,10,4,6,10,false,'2017-10-30 19:31:27.808000'
4,10,17,5,10,9,true,'2017-10-30 20:04:30.631000'
8,7,3,16,10,6,true,'2017-10-31 14:40:56.250000'
8,7,3,16,10,7,true,'2017-10-31 14:41:07.483000'
2,11,10,8,10,8,true,'2017-10-31 14:41:17.010000'
10,8,2,11,10,8,true,'2017-10-31 14:41:37.119000'
7,6,1,17,10,4,true,'2017-10-31 14:55:18.049000'
5,4,17,1,10,6,true,'2017-10-31 16:03:23.745000'
11,21,24,9,9,10,false,'2017-10-31 18:01:06.211000'
11,4,5,17,8,10,false,'2017-10-31 19:16:07.307000'
10,4,17,5,10,5,true,'2017-10-31 19:32:05.436000'
2,8,7,6,10,9,true,'2017-11-01 14:07:29.384000'
3,1,11,8,10,7,true,'2017-11-01 17:11:25.518000'
4,20,5,17,7,10,false,'2017-11-01 17:27:21.533000'
8,7,3,16,10,7,true,'2017-11-02 13:51:47.290000'
8,7,3,16,10,5,true,'2017-11-02 13:51:54.670000'
1,11,3,16,10,2,true,'2017-11-02 14:04:05.771000'
10,9,2,11,10,7,true,'2017-11-02 14:33:54.035000'
4,18,5,17,3,10,false,'2017-11-02 14:59:58.707000'
2,5,4,17,5,10,false,'2017-11-02 19:27:09.464000'
10,17,2,5,4,10,false,'2017-11-02 19:27:27.054000'
11,4,12,8,10,8,true,'2017-11-02 19:41:24.270000'
11,5,10,8,9,10,false,'2017-11-02 19:57:33.724000'
6,7,1,2,5,10,false,'2017-11-03 13:26:47.394000'
2,9,24,11,10,5,true,'2017-11-03 13:39:51.130000'
8,11,16,2,10,7,true,'2017-11-03 14:20:53.143000'
16,10,8,11,10,9,true,'2017-11-03 14:37:29.429000'
6,9,1,21,10,7,true,'2017-11-03 15:19:30.010000'
2,10,7,15,10,7,true,'2017-11-03 15:19:51.326000'
7,15,2,10,5,10,false,'2017-11-03 15:20:00.244000'
17,5,2,8,9,10,false,'2017-11-03 19:20:25.040000'
5,12,10,4,5,10,false,'2017-11-03 19:32:00.989000'
2,12,17,5,5,10,false,'2017-11-03 19:49:53.611000'
12,11,10,5,5,10,false,'2017-11-03 19:57:52.496000'
12,10,5,17,6,10,false,'2017-11-03 20:08:55.702000'
8,3,2,7,9,10,false,'2017-11-04 13:51:32.875000'
8,3,2,10,10,7,true,'2017-11-04 14:24:26.070000'
1,6,2,7,4,10,false,'2017-11-04 14:39:14.827000'
4,12,6,1,10,6,true,'2017-11-07 15:57:22.518000'
1,7,8,6,10,8,true,'2017-11-08 13:55:07.066000'
1,3,2,11,10,4,true,'2017-11-08 13:55:37.505000'
2,11,1,3,6,10,false,'2017-11-08 14:12:43.603000'
24,11,9,21,10,6,true,'2017-11-08 14:57:25.683000'
24,11,9,21,9,10,false,'2017-11-08 14:57:41.281000'
2,18,17,5,3,10,false,'2017-11-08 15:04:47.819000'
18,4,17,5,6,10,false,'2017-11-08 15:28:38.373000'
9,11,7,21,10,7,true,'2017-11-08 18:27:58.653000'
9,11,7,21,10,7,true,'2017-11-08 18:28:05.296000'
8,11,6,16,10,5,true,'2017-11-08 18:56:28.983000'
8,6,11,16,10,8,true,'2017-11-09 09:07:20.040000'
1,3,2,6,7,10,false,'2017-11-09 13:54:05.619000'
2,11,4,17,10,4,true,'2017-11-09 15:03:29.890000'
2,11,10,4,10,6,true,'2017-11-09 15:15:08.967000'
2,12,10,4,5,10,false,'2017-11-09 19:49:44.211000'
10,4,2,12,10,9,true,'2017-11-09 19:49:51.410000'
8,12,3,16,10,5,true,'2017-11-10 09:51:27.143000'
8,3,1,6,7,10,false,'2017-11-10 14:29:53.939000'
1,6,8,3,3,10,false,'2017-11-10 14:30:21.473000'
8,3,1,6,7,10,false,'2017-11-10 14:30:48.051000'
2,3,6,8,10,7,true,'2017-11-10 14:40:39.395000'
6,8,2,3,10,7,true,'2017-11-10 14:51:34.582000'
17,5,2,8,9,10,false,'2017-11-10 22:04:30.560000'
9,5,7,6,10,8,true,'2017-11-10 22:12:41.383000'
8,6,3,1,10,7,true,'2017-11-13 13:59:59.067000'
8,6,7,1,9,10,false,'2017-11-13 14:00:40.589000'
4,10,2,17,10,5,true,'2017-11-13 19:40:36.987000'
2,17,4,10,6,10,false,'2017-11-13 19:40:49.721000'
3,2,1,6,10,8,true,'2017-11-14 15:07:17.729000'
1,6,3,2,10,9,true,'2017-11-14 15:07:25.037000'
6,1,3,7,10,8,true,'2017-11-15 13:53:00.495000'
7,3,1,6,6,10,false,'2017-11-15 13:53:08.587000'
2,9,8,21,10,6,true,'2017-11-15 13:53:21.509000'
2,9,6,1,3,10,false,'2017-11-16 13:18:32.143000'
8,1,7,6,10,8,true,'2017-11-16 14:10:10.870000'
6,12,2,17,10,4,true,'2017-11-16 19:32:53.643000'
2,17,6,12,10,4,true,'2017-11-16 19:33:01.154000'
1,7,6,3,10,5,true,'2017-11-17 14:37:32.554000'
6,3,1,7,5,10,false,'2017-11-17 14:47:03.211000'
2,3,17,4,9,10,false,'2017-11-17 14:59:31.521000'
21,11,9,3,8,10,false,'2017-11-17 18:39:53.619000'
11,9,21,3,10,2,true,'2017-11-17 18:41:03.785000'
2,11,4,17,10,9,true,'2017-11-17 18:41:47.032000'
2,16,6,8,10,9,true,'2017-11-17 21:27:34.230000'
3,8,6,1,3,10,false,'2017-11-20 14:09:36.766000'
6,1,3,8,10,7,true,'2017-11-20 14:09:57.587000'
8,7,3,16,10,5,true,'2017-11-20 14:15:26.651000'
1,8,2,12,10,4,true,'2017-11-20 14:43:56.466000'
2,12,1,8,10,8,true,'2017-11-20 14:44:06.522000'
9,11,21,24,10,1,true,'2017-11-20 18:14:05.046000'
9,11,21,24,10,3,true,'2017-11-20 18:14:13.913000'
4,17,2,11,10,8,true,'2017-11-20 19:13:38.595000'
3,1,6,11,10,7,true,'2017-11-21 14:37:25.719000'
6,11,3,1,6,10,false,'2017-11-21 14:37:53.787000'
1,8,2,7,10,5,true,'2017-11-21 14:45:49.363000'
1,8,2,17,10,0,true,'2017-11-21 14:45:58.267000'
6,8,10,4,4,10,false,'2017-11-21 15:02:20.571000'
11,24,9,21,10,8,true,'2017-11-21 18:08:01.893000'
11,8,3,16,10,7,true,'2017-11-21 18:56:10.466000'
8,7,3,16,10,2,true,'2017-11-21 18:57:45.500000'
10,4,15,17,10,7,true,'2017-11-21 19:22:19.997000'
12,4,2,10,10,9,true,'2017-11-21 19:39:12.441000'
3,1,8,11,10,8,true,'2017-11-22 13:28:34.332000'
8,1,7,6,10,9,true,'2017-11-22 13:29:22.954000'
1,3,6,12,10,7,true,'2017-11-22 14:12:38.990000'
6,12,1,3,8,10,false,'2017-11-22 14:13:06.984000'
17,4,10,11,5,10,false,'2017-11-22 14:44:09.306000'
11,10,17,4,10,5,true,'2017-11-22 14:44:54.101000'
11,1,3,7,10,5,true,'2017-11-23 15:03:44.248000'
1,8,7,6,9,10,false,'2017-11-23 16:51:59.088000'
9,6,1,21,10,5,true,'2017-11-23 18:24:13.725000'
1,21,9,6,5,10,false,'2017-11-23 18:24:31.608000'
11,9,2,21,10,0,true,'2017-11-23 18:24:47.285000'
3,6,16,11,10,5,true,'2017-11-23 18:56:24.367000'
2,12,10,15,6,10,false,'2017-11-23 21:20:19.358000'
12,15,10,11,9,10,false,'2017-11-23 21:41:07.973000'
8,1,7,6,10,8,true,'2017-11-24 14:43:59.287000'
8,1,3,6,10,4,true,'2017-11-24 14:44:33.168000'
9,11,3,21,10,1,true,'2017-11-24 14:57:39.406000'
3,21,9,11,7,10,false,'2017-11-24 14:58:10.168000'
8,3,2,12,5,10,false,'2017-11-24 19:20:24.939000'
2,12,8,3,10,9,true,'2017-11-24 19:20:36.571000'
21,9,12,17,5,10,false,'2017-11-24 20:06:55.305000'
17,9,12,21,10,8,true,'2017-11-24 20:07:36.067000'
1,3,8,2,9,10,false,'2017-11-27 13:26:31.914000'
8,1,6,16,7,10,false,'2017-11-27 15:00:52.008000'
8,1,12,3,10,7,true,'2017-11-27 15:01:33.875000'
8,1,12,3,10,8,true,'2017-11-27 15:01:40.531000'
2,11,10,18,10,3,true,'2017-11-27 19:25:40.658000'
1,6,8,16,10,8,true,'2017-11-28 10:12:28.690000'
1,6,8,7,10,9,true,'2017-11-28 14:40:23.128000'
8,7,1,6,8,10,false,'2017-11-28 14:41:17.131000'
12,6,1,7,8,10,false,'2017-11-28 14:41:53.972000'
3,8,11,1,10,7,true,'2017-11-28 14:48:27.376000'
9,11,21,24,10,3,true,'2017-11-28 14:49:50.121000'
2,12,11,6,9,10,false,'2017-11-28 19:22:06.848000'
